	User	Date Created	Number of Likes	Source of Tweet	Tweet	Location
4112	mcendz17	2022-03-22 07:06:08+00:00	1	Twitter for iPhone	"So I once worked with this guy dat disrespected me mostly when his with lady’s in d office n channel most of our income to lady’s n flexing n sometimes my salary will b hanging bet I tend to flow with him base on we b guy Guy!

 #HorribleBosses"	Around 
4113	LukeAlade	2022-03-22 07:05:59+00:00	7	Twitter for iPhone	"#HorribleBosses Randomly remembering a part from the book Americanah which relates to everything I've seen on this thread so far: 
when Ifemelu’s father lost his job at the federal agency. He was fired for refusing to call his new boss Mummy. He csame"	Abuja, Nigeria
4114	O_McGod	2022-03-22 07:05:57+00:00	1	Twitter for Android	@datprintgirl @felicia_oto If you read and understand what I wrote, I was speaking from my own experience and I also said, you can't call an organization toxic based on a flawed manager, that should go on #HorribleBosses and you call out the individual. How does that hurt?	Nigeria
4115	adelabi_draiggs	2022-03-22 07:05:55+00:00	0	Twitter Web App	"When I got my present job in 2017, I was informed of how toxic my immediate boss was, which was so tough. I mean TOUGH!
I talked to God about it, that if He really wants me here, He should step into the situation, which He did and till date, we're cool.
 #HorribleBosses  Lyin"	Ikoyi, Warri, Prague 
4116	EgunubiWisdom	2022-03-22 07:05:51+00:00	2	Twitter for Android	"Been in toxic spaces all day..

And I've decided that I don't want to ever be in such situations.

You can imagine the terrible conditions people go through to make a living.

Your smartphone can make you money today, don't let someone else treat you like trash

#HorribleBosses"	Ibadan, Nigeria
4117	losndu	2022-03-22 07:05:48+00:00	0	Twitter for Android	#HorribleBosses https://t.co/qjVwxWHnYZ	
4118	_homaa	2022-03-22 07:05:46+00:00	0	Twitter for iPhone	Bloody sadistic humans #horribleboss #HorribleBosses	Abuja, Nigeria
4119	mimibenson_	2022-03-22 07:05:28+00:00	6	Twitter for Android	#HorribleBosses people working as contract staff in Pharmaceutical companies are slaves not employees.	Inside the fridge
4120	stella_durotimi	2022-03-22 07:05:26+00:00	0	Twitter for Android	Every employer needs to do some program in Strategic HR Management. If they do nobody will tell you that unhappy employees are unproductive employees #HorribleBosses	
4121	KeneAgwu	2022-03-22 07:05:24+00:00	17	Twitter for iPhone	As a law teacher and researcher as I read through the #HorribleBosses and #toxicboss chats and even joining the space last night, I can see a very large area for possible research interests. #research is key to any societal change. #Students are we set!	Abuja, Nigeria
4122	obadafidii	2022-03-22 07:05:09+00:00	3	Twitter for Android	"The stories are despicable and mean

#HorribleBosses"	Nigeria
4123	CeeCeeAkannaya	2022-03-22 07:04:36+00:00	1	Twitter for Android	"Ka m na-agwa gị oh 😂 😂 😂

Everybody be pointing fingers to #HorribleBosses, self-examine yourself too...

Most househelps suffer more. https://t.co/GRpJCx7d9U"	Igweọcha 
4124	iamtohlublaize	2022-03-22 07:04:23+00:00	2	Twitter for iPhone	"Having led teams and owned startups like Blaize TV, The Soteria Brand and Ecovanni, i wonder what people who have worked with and for me - think about me. 

Pls if you've worked with or for me, and you consider me 1 of the #HorribleBosses please call me out 🙏🏽

I really wanna knw"	London, England
4125	IwubehB	2022-03-22 07:04:10+00:00	1	Twitter for Android	#HorribleBosses  is not complete without the so called India bosses.. mostly the ones in Asaba( GPS)my friend worked there for just 2 months and she lamented everyday..how those people treat us as slaves in our country amazes me	Delta 
4126	andrew_foyewa	2022-03-22 07:04:10+00:00	0	Twitter for Android	"Toxic workspaces full everywhere. 
#HorribleBosses https://t.co/mHOnvjdmWJ"	Jupyter nb
4127	Oyinlee1	2022-03-22 07:03:53+00:00	5	Twitter Web App	"Fear Bearded people with bald head , like you ..: once I see them I run 😂… repulsive and vile beings Run oo  
#Ebun #techcabal #HorribleBosses"	Ile ileri oluwa  ☃
4128	Slimchineme	2022-03-22 07:03:52+00:00	2	Twitter Web App	The downside of this #HorribleBosses trend is that even incompetent employees would use this as an avenue to target their bosses. That said, the issue of corporate governance in our work space is a serious issues. Employees go through shit in Nigeria.	Ontario
4129	itslachi	2022-03-22 07:03:46+00:00	4	Twitter for Android	"His name is DON Xavi Hernandez

Barca Koeman Dembele Auba frank edoho #BBNaija NYSC Tinubu Iyin Lebanese Kiki Obi Cubana Beat FM #HorribleBosses Made In Lagos Dybala https://t.co/fJkijzbM0l"	
4130	onuoracreate	2022-03-22 07:03:43+00:00	4	Twitter for Android	"Never forget that getting a job is a good thing but your employers owe you a safe workspace, growth opportunities and of course a steady salary.
Don't think of them as masters or gods. It's a partnership of sorts and you both must profit from it. You also matter.
#HorribleBosses"	Nigeria
4131	onuoracreate	2022-03-22 07:03:42+00:00	1	Twitter for Android	"I know it's hard not having money and all but being at a place where you are paid (or owed) while your self-esteem and mental health suffer is not the best for you at all.
If you can not leave immediately make a plan about it and begin seeking other opportunities.
#HorribleBosses"	Nigeria
4132	onuoracreate	2022-03-22 07:03:42+00:00	2	Twitter for Android	"If I go into the other two workplaces I left because of bad working conditions or abuse, I will need extra sheet.
The only regret I have is that I didn't leave those places sooner. I kept tying to make it work but of course it didn't. Don't stay with bad jobs.
#HorribleBosses"	Nigeria
4133	onuoracreate	2022-03-22 07:03:41+00:00	0	Twitter for Android	"You people lied about me &amp; embarrassed me. You stole from me &amp; owe me 4/5 months salary but you have the gall to ask me if I can tell HOTR for you that you have billboard space for use.
He saw my LinkedIn profile about HOTR and thought he could ask for favours 😅
#HorribleBosses"	Nigeria
4134	onuoracreate	2022-03-22 07:03:41+00:00	0	Twitter for Android	"It delayed my confirmation for 2/3months!
Would you believe that months later when we were working on The Experience designs that year, one partner of that agency had the gall to say he wanted me to tell HOTR he has a billboard. So they can rent it for publicly 🙁
#HorribleBosses"	Nigeria
4135	onuoracreate	2022-03-22 07:03:40+00:00	0	Twitter for Android	"Not long after, I got a job with HOTR as an Asst Graphic Designer and they got in touch with the former place I worked (That was my 1st official work experience and so I needed that reference).
HR said that those guys weren't responding to them at all. Not a word.
#HorribleBosses"	Nigeria
4136	onuoracreate	2022-03-22 07:03:40+00:00	0	Twitter for Android	"I replied it in detail, mentioning all they had done and their unwillingness/inability to be financially responsible. I then asked them to go ahead and kindly cite examples of when I was rude, sabotaged the company, etc. 
I have gotten no reply years later 😅
#HorribleBosses"	Nigeria
4137	onuoracreate	2022-03-22 07:03:39+00:00	0	Twitter for Android	"That man is one of many kinds of horrible, selfish, rude and narcissistic people who don't listen and try to control and manipulate others.
When that doesn't work they get angry. That email that was sent? I made a mistake. It came AFTER this exchange with him.
#HorribleBosses"	Nigeria
4138	onuoracreate	2022-03-22 07:03:39+00:00	0	Twitter for Android	"My friend then who attended Daystar was mad when she heard this later (ironically, she is now my wife (love you, Adeola 😍) and wanted me to report the case to the church so that they can find the man and deal with his matter.
I said it wasn't worth it at all.
#HorribleBosses"	Nigeria
4139	onuoracreate	2022-03-22 07:03:38+00:00	0	Twitter for Android	"I'm a Christian &amp; pastored. You can't blackmail me spiritually. There's too much growth and experience on my side.
He then said his pastor taught them (he used to attend Daystar Christian Centre, Ikeja) that ""God is always on the employers side, no matter what 🤣
#HorribleBosses"	Nigeria
4140	onuoracreate	2022-03-22 07:03:38+00:00	0	Twitter for Android	"It was the most ridiculous thing I ever saw and by then was so far gone I was no longer concerned about decorum.
This man had the guts to say that ""you better change or you'll be in the same position for the rest of your life."" I told him that was nonsense talk.
#HorribleBosses"	Nigeria
4141	onuoracreate	2022-03-22 07:03:37+00:00	0	Twitter for Android	"He ordered me out of the office and said I had no respect. Also said I have no idea about labour laws. I laughed and said, ""do labour laws say you should not pay me or pay my pension?""
He was embarrassed but kept being defensive. Then he decided to ""go spiritual""
#HorribleBosses"	Nigeria
4142	onuoracreate	2022-03-22 07:03:37+00:00	0	Twitter for Android	"The day I got there, I sat with a partner at the agency (can't recall his name) and he was talking nonsense and blaming me. 
I had my letter with me to resign with immediate effect and didn't know when I slammed the thing on his desk. It was so crazy that day.
#HorribleBosses"	Nigeria
4143	initialneon_boy	2022-03-22 07:03:36+00:00	0	Twitter for Android	How #HorribleBosses dress https://t.co/XEUNUlhkMw	
4144	onuoracreate	2022-03-22 07:03:36+00:00	0	Twitter for Android	"A company that didn't have any job for ages but I was coming to work every day? A company that even cut my leave of 10 days to two because ""they needed someone in the office"" as if I was a secretary. 
And they owed me pension and salary but said I'm the problem??
#HorribleBosses"	Nigeria
4145	onuoracreate	2022-03-22 07:03:35+00:00	0	Twitter for Android	"After almost a month I asked ""how far?"" via phone and was told I'm not serious.
Then I got this ridiculous email claiming I was rude, a bad staff, lazy &amp; work against their interests.
I saw red. A company that most times I helped with my own money to fuel the gen?
#HorribleBosses"	Nigeria
4146	onuoracreate	2022-03-22 07:03:35+00:00	0	Twitter for Android	"The first agency I ever worked for still owes me 4 or 5 months' salary. I told them I could not keep coming to work without being paid.
My salary was 50k. They reduced it to 40k citing ""tax and pensions"" wetin wetin.
As I write this, they paid neither. Not a cent. #HorribleBosses"	Nigeria
4147	onuoracreate	2022-03-22 07:03:34+00:00	7	Twitter for Android	"Woke up to see tweets about #HorribleBosses and I'm glad to say I left three jobs over the years because of abuse, bad working conditions or cheating and owing staff money.
The attitude of many bosses is so ridiculous you would be tempted to ask if they are mentally unstable."	Nigeria
4148	EObaniyi	2022-03-22 07:03:27+00:00	11	Twitter for Android	"While we are talking about #HorribleBosses , let's not leave out the ones that owe 2 months salary too please. 🙄😩

Kiki 
Iyin 
Daniel Emeka https://t.co/83Ve5jZyUB"	Lagos, Nigeria
4149	afewfx	2022-03-22 07:02:48+00:00	0	Twitter for iPhone	Lol! My sanity is paramount, I’ll resign when I perceive toxicity before I get fired  #HorribleBosses	In Dilemma 
4150	_Rantimi_	2022-03-22 07:02:47+00:00	2	Twitter for Android	"My own is sha that I need an update from that meeting Ebun scheduled for today with his staff😅
#HorribleBosses"	
4151	OjiUgo_nwa	2022-03-22 07:02:36+00:00	2	Twitter for iPhone	"We are family here 🤣😂🤣 Odiegwu 
#HorribleBosses"	Nigeria 
4152	Joan_Ukeri	2022-03-22 07:02:24+00:00	0	Twitter for iPhone	People are really suffering this much just to put food on the table #HorribleBosses	
4153	techvocast	2022-03-22 07:02:21+00:00	2	Twitter for Android	7 hrs Twitter Space of #HorribleBosses https://t.co/8gdsN51xc4	
4154	NollyFamily	2022-03-22 07:01:52+00:00	0	Twitter Web App	"#samsung #kiki #ghana #horriblebosses

https://t.co/PorIaGlZax"	Lagos, Nigeria
4155	CHLemchi	2022-03-22 07:01:47+00:00	69	Twitter for Android	"I've been begging my wife to share her experience but she doesn't want to. And I don't have her permission to share her terrible experience in the hands of #HorribleBosses. 

She resigned and took 2 months of therapy just by sitting on the Word of God to regain her confidence."	Hid with Christ in God.
4156	BenCrankson	2022-03-22 07:01:11+00:00	0	Twitter Web App	https://t.co/8DuvANEbhO #HorribleBosses	
4157	Liuking_draws	2022-03-22 07:01:09+00:00	379	Twitter for iPhone	"“I work at the same company,and it’s not toxic,i don’t know what you people are talking about”. 
Na them👇👇👇
#HorribleBosses https://t.co/B5btLtGB4H"	
4158	KingSelehEsq	2022-03-22 07:01:06+00:00	7	Twitter for Android	I've been working with this guy on a remote job and he has refused to pay me since January his excuse is I have another job and I should be patient. I have stopped working until I see my pay. #HorribleBosses	Nigeria
4159	Yinkalead9ja	2022-03-22 07:01:03+00:00	475	Twitter for iPhone	"This man no get joy na so we suppose dey bitter to bad government in Nigeria.
My PPA /Congratulation Saskay/ Ebun / #Zugacoin #HorribleBosses / Tammy / Kiki / Access / Daniel Emeka / NYSC / Beat Fm / Kuda Niphkeys / SpeedDarlignton: The Lord / Lebanese / Mentally Aware https://t.co/QTujqxsp4I"	
4160	The_MediaQueen	2022-03-22 07:00:51+00:00	34	Twitter for iPhone	"On the “toxic boss” thingy, I know some of you who will only grumble and go back to licking your OGA’s feet this morning. 

When you are done with your double standards, we will have another conversation 💔😂 

Woke youth isonu! 
Shey ‘brokeness’ wa kere ni?🤷🏽‍♀️
#HorribleBosses"	Ibadan
4161	tweetbraille	2022-03-22 07:00:32+00:00	0	Twitter for Android	The National Industrial Court handles employment matters. I also learnt CIPM is working on something. I think the #TwitterSpaces hosts should interview HR practitioners so that ppl can have insights into dealing professionally handling #HorribleBosses cases.	
4162	tosainopheo	2022-03-22 07:00:28+00:00	1	Twitter for Android	"I worked for a boss that I used to borrow money from loan app to pay my salary and etc, the last time I helped him with a loan of 120k he said he will not pay back because I removed my salary
I had to pay back 153,880₦ by myself
#HorribleBosses"	where the most high dwells
4163	Sammy_RealSex	2022-03-22 07:00:13+00:00	0	Twitter for Android	@pamelaadie Na the werey palm be that? #HorribleBosses	Nigeria
4164	DurojaiyeSegun	2022-03-22 06:59:56+00:00	2	Twitter for iPhone	#HorribleBosses are bosses in using fear as a tool because they lack managerial skill.	Habitable part of the Planet.
4165	ekenejustmii	2022-03-22 06:59:38+00:00	5	TweetCaster for Android	Or a statement like 'we are not adding value to the company' saying that during Monday meeting and am wondering why not fire us. This kind of statement messes with your mind and you begin to question yourself or your ability #horriblebosses #SkenerandomThoughts	Lagos, Nigeria
4166	tulugo_	2022-03-22 06:59:33+00:00	0	Twitter for iPhone	Just out of curiosity, abeg, just how many people have worked with the Daniel Emeka? Cause this #horriblebosses is looking like a ME-TOO movement. Abeg, dont lamba just to trend. Some bosses in Nigeria r terrible, same way others are good. It’s humanity, we can’t all be perfect. https://t.co/vjBXua8nXf	Victoria Island, Nigeria
4167	ChimeXdata	2022-03-22 06:59:19+00:00	0	Twitter for Android	"See me waiting for the #HorribleBosses space to end, So I can listen
Only for me to wake up this morning and see it's 7hrs 😂😂😂"	Manchester, England
4168	Apholerbee	2022-03-22 06:59:18+00:00	0	Twitter for Android	@ManLikeIcey This guy has bigger problem than just being #HorribleBosses ish. If he's not saved, he may one day wipe his own immediate family off the face of the earth.	Lagos, Nigeria
4169	onaopemipor	2022-03-22 06:59:17+00:00	6	Twitter for iPhone	Working in Lagos is enough stress for anyone. Not to now talk of working with #HorribleBosses 😩	Lagos
4170	Thaddeuspeter9	2022-03-22 06:59:16+00:00	0	Twitter for Android	"#HorribleBosses
However good your job pays, your mental health of profoundly more important. Don't earn much and still be shattered on the inside. Peace of mind first before considering the pay. My friend who works in the banks always about the tension inside."	Kaduna, Nigeria
4171	jadon442	2022-03-22 06:59:07+00:00	0	Twitter for Android	"That why I love remote jobs. You don't have to worry about toxic workplaces.

#HorribleBosses"	Lagos
4172	ThankgodWellin8	2022-03-22 06:59:02+00:00	0	Twitter for iPhone	"Please let’s tag and mention all the horrible bosses we know and the company #HorribleBosses #CEOs 
MR DELE FROM SPUR NIGERIA 
This man call himself a pastor but has the heart of devil 😈"	Dallas, TX
4173	KingSelehEsq	2022-03-22 06:59:02+00:00	2	Twitter for Android	These same Bosses will complain about the government day Give humans little power and they become demons. #HorribleBosses	Nigeria
4174	Nyxodin	2022-03-22 06:59:00+00:00	0	Twitter for Android	"Imagine a whole mental health foundation being toxic? 
That's very sad. A place that is supposed to be a safe place for people and its staff. 
#HorribleBosses #horribleboss"	Los Angeles, CA
4175	oluwole__ola	2022-03-22 06:58:59+00:00	1	Twitter Web App	Waiting for resignation, queries and suspension stories at COB today  #HorribleBosses	
4176	iamabiolaseriki	2022-03-22 06:58:54+00:00	62	Twitter for Android	"SHOES for stylish men (ÒKUNRÌN ASÌKÓ) who sees beauty in simplicity

Sizes: 40 - 46

Price: ₦20, 000

Location: Lagos

For enquiries/order: 

DM/Call/Whatsapp https://t.co/WwPVMzrbOV

#BBNaija Beat Fm Congratulations Saskay Speed Darlington Daniel Emeka Iyin Kiki #HorribleBosses https://t.co/WtN2vZailK"	Lagos, Nigeria
4177	harbeebulah1	2022-03-22 06:58:49+00:00	0	Twitter for Android	"#HorribleBosses
Every workplace has this cruel type of bosses except if they r nt big yet, 🇳🇬 is nt a frndly place and business cn also nt be treated with jokes, bt this does nt mean we shd loose d best of our humanity, *Empathy*. I once av a boss whom I worked under 4 a while &amp;"	
4178	TamunoTonyeeee	2022-03-22 06:58:46+00:00	0	Twitter for iPhone	"Stoppet. The last Commisioner that organized an event to help Port Harcourt people battle soot was sacked. 

Please Stoppet. Let’s focus on the beautiful story from outside #HorribleBosses https://t.co/kzdCI8Uc4n"	Port_harcourt, Abuja
4179	aabdullahi_	2022-03-22 06:58:38+00:00	1	Twitter for Android	this particular topic is virtually in every whrre #toxicBosses even in government offices we have them.  #HorribleBosses	
4180	Shirley_Sein	2022-03-22 06:58:23+00:00	0	Twitter for iPhone	#HorribleBosses https://t.co/QR0lErOdZ8	Nairobi, Kenya
4181	Demurleigh	2022-03-22 06:58:14+00:00	31	Twitter for Android	"After we are done with #HorribleBosses , can we then discuss #HorribleEmployees ?

The socioeconomic damage which workers inflict on businesses on a daily bases if exposed, is nothing but shocking."	Federal Capital Territory
4182	OmosuleLaw	2022-03-22 06:58:10+00:00	0	Twitter for Android	@UncleHugoo ....Shey u are following this #HorribleBosses trend... if you like come late to office today.............We shall see 😛😛😛😛	Lagos, Nigeria
4183	gbengah_ah	2022-03-22 06:57:39+00:00	0	Twitter for Android	Tems was right o, Crazy tings are really happening #HorribleBosses	Trenches
4184	obeten_jane	2022-03-22 06:57:28+00:00	0	Twitter for iPhone	Twitter to Kiki you talk you collect #kiki #HorribleBosses #Danielemeka #ebun	Nigeria
4185	ekenejustmii	2022-03-22 06:57:18+00:00	1	TweetCaster for Android	I've worked with someone who verbally abused his staff. The first time i heard it i was shocked. Things like 'if not for me you will be living under the bridge'. And it was like a norm. Everyone had accepted it. Then if you resigned mid-month he won't pay you #horriblebosses	Lagos, Nigeria
4186	lamionyx_	2022-03-22 06:57:02+00:00	0	Twitter for iPhone	"People are really going through a lot all for daily bread 😪
#HorribleBosses"	44 ogunlana drive, Surulere 
4187	callmesammylex	2022-03-22 06:56:53+00:00	20	Twitter for Android	"Your childhood was never interesting if you never slept hungry just to prove to your parents that you were really angry

Pogba || #HorribleBosses || Kiki || CM Punk || NYSC || Speed Darlington || Beat FM || Daniel Emeka https://t.co/iqxK1XzPsP"	Ojo, Nigeria
4188	fredericknuetei	2022-03-22 06:56:46+00:00	28	Twitter for iPhone	"UPDATE: Crystal Palace striker Jordan Ayew won't be available yet despite being named in the Ghana team.

Oppong Nkrumah | #HorribleBosses  | Gyan | Otto Addo https://t.co/EKecCOP8qy"	Accra, Ghana
4189	Geeglowcakes	2022-03-22 06:56:35+00:00	1	Twitter for Android	"Working in some mfbs as Relationship officers is one of the quickest ways to deteriorate mentally and physically.

Create a loan that eventually goes bad no matter what the reason is. You the RO is paying o, they will bully you to pay from your peanut salary
#HorribleBosses"	Lagos
4190	Kunle_OD	2022-03-22 06:56:25+00:00	3	Twitter for iPhone	The funniest moment from last night’s #HorribleBosses space was when they brought Kiki Mordi’s light and we all heard the siren but she claimed it was the cops. 😂	Nigeria
4191	MorolongZA	2022-03-22 06:56:24+00:00	4	Twitter for Android	.like this #HorribleBosses issue being discussed, you can deduct a ton from what other CEOs are saying. For some, I'd be worried about joining them whilst others seem like big headed humans. Just observing	South Africa
4192	Thaddeuspeter9	2022-03-22 06:56:07+00:00	0	Twitter for Android	"#HorribleBosses
The narrations on this space this morning in respect to how people are being treated by their Bosses only highlight the need to own your own business and at some point be an employer yourself. We will serve people. But we should also work hard to be served."	Kaduna, Nigeria
4193	dudewitnatt2de	2022-03-22 06:55:58+00:00	1	Twitter for Android	My cousin got fired the day he resumed work because he pointed out an inconsistency they had to address while bidding for a contract, like he literally didn't last a day after resigning from his previous job. They just calculated his hours and told him bye👋 #HorribleBosses	🌎 
4194	MOAdanu	2022-03-22 06:55:43+00:00	5	Twitter for Android	"I thought all these our tech bros and tech sis were earning thousands of dollars. Why am hearing 100k and even 80k? 
I thought it was only Abuja NGOs that pay shit. #HorribleBosses"	Nigeria
4195	hazelpawa	2022-03-22 06:55:34+00:00	4	Twitter for Android	"Youths that are #HorribleBosses , and youths working for #HorribleBosses be steadily telling everyone about what the country is putting youths through.

It hasn't still dawned on them that youths, the coconut generation are one of the biggest problem's of their generation."	
4196	blacklinksHQ	2022-03-22 06:55:31+00:00	0	Twitter for iPhone	"@instablog9ja over to you on #HorribleBosses 

Tag them y’all"	
4197	adaigboukwu	2022-03-22 06:55:21+00:00	4	Twitter for Android	"Working in some mfbs as Relationship officers is one of the quickest ways to deteriorate mentally and physically.

Create a loan that eventually goes bad no matter what the reason is. You the RO is paying o, they will bully you to pay from your peanut salary
#HorribleBosses https://t.co/s2EyCZtFb9"	
4198	Queen_minnna	2022-03-22 06:54:57+00:00	9	Twitter for Android	"Just yesterday night ,me and my girls were discussing about Coaches and Female athletes

I was shocked and disgusted by some horrible experiences shared😩

#HorribleBosses

 #WomensHistoryMonth #WomenInSport #GirlPower #WomenTellAll"	
4199	gre8mind	2022-03-22 06:54:46+00:00	2	Twitter for Android	"Una mean this thing wey una dey talk about Daniel Emeka? #horribleboss #HorribleBosses 
Daniel Regha Daniel Emeka must have been extreme 🤔🤔

God I no want such people in my life🏃🏃🏃🏃"	Lagos, Nigeria
4200	ComradeAkpabs	2022-03-22 06:54:44+00:00	3	Twitter for Android	"Last night on Twitter NG, was quite funny and depressing at the same time.
Someone that used connection with a superior, to steal her colleagues work, was co-hosting #HorribleBosses Space. The same person that she and her ilks stole #EndSARS protest funds oh."	Carpe Diem
4201	EObaniyi	2022-03-22 06:54:39+00:00	12	Twitter for Android	"My boss called for a meeting yesterday blaming my colleagues and I for the delay in salary on to say na we dey bring money enter but since we haven't brought enough that's y the rest of the staffs are suffering🤦🤦😩😩
 
#HorribleBosses 
Kiki
Obi Cubana https://t.co/WRCnnRqGdd"	Lagos, Nigeria
4202	Anthonyvine	2022-03-22 06:54:29+00:00	2	Twitter for Android	"When are we also gonna talk about terrible clients that just decides to hold your money for no damn reasons AKA there's a top manager @ Amazon energy lekki, 
CEO of ciu ciu brand #HorribleBosses"	
4203	Yinkalead9ja	2022-03-22 06:54:15+00:00	290	Twitter for iPhone	"Portable dey cruise Obi Cubana Odogwu Bitters and dropping a song for his new endorsement with Obi Cubana.
My PPA /Congratulation Saskay/ #horribleboss / Ebun / #Zugacoin #HorribleBosses / Tammy / Kiki / #BBNaija / Access / Daniel Emeka / NYSC / Beat Fm / Kuda https://t.co/OoBr5NGw9I"	
4204	_AdeoluA	2022-03-22 06:53:55+00:00	0	Twitter for iPhone	Krispy Kreme production staffs are slaves to there Lebanese and Nigerian Boss #HorribleBosses	Lagos | Ibadan
4205	47seyi	2022-03-22 06:53:50+00:00	0	Twitter for iPhone	need @Funguyzz17 to come share their own #HorribleBosses story.	HEAVENS GATE, OUTSIDE!
4206	Mc_Mens1	2022-03-22 06:53:50+00:00	20	Twitter for iPhone	"It’s disheartening watching our future leaders go thru these kinds of hardships only to get educated! 
It’s difficult sharing these videos but it has to be done😭💔! Will it EVER get better🤦🏿‍♂️?! 21st century?
Nana Addo, Bawumia, Oppong Nkrumah, Bank of Ghana, very #HorribleBosses https://t.co/kXfNLLUJMO"	
4207	OmohHarjayi	2022-03-22 06:53:46+00:00	1	Twitter for Android	Me leaving all the #HorribleBosses that comes my way till I stop working https://t.co/uf3Pah8fZX	Nigeria
4208	Pawlpat	2022-03-22 06:53:44+00:00	71	Twitter for Android	"Can we talk about commercial banks especially the marketing and sales units?

The unrealistic targets and the pressure to do WHATEVER it takes to mobilize funds?

Verbal assaults during weekly/monthly performance reviews?

*Most bankers have PTSD and HBP.

#HorribleBosses"	Nigeria
4209	chisquare007	2022-03-22 06:53:39+00:00	1	Twitter for Android	"Affiliate marketers cannot relate to this #HorribleBosses saga. 

Just listening to toyin omotosho and enjoying their lives.
@expertnaire @toyinomotoso @leumas4samuel"	nigeria
4210	OkoyeEsther12	2022-03-22 06:53:36+00:00	1	Twitter for Android	I have always wanted a thread on toxic work environment cause lately its becoming too much #HorribleBosses	Benin-City, Nigeria
4211	Nicchinelo	2022-03-22 06:53:32+00:00	27	Twitter for Android	I thank everyone that celebrated me yesterday, may celebration never seize in your families. Love you all 😍🥰🥰❤️ #BBNaija #HorribleBosses https://t.co/DYY4jPUN7l	
4212	barneyzINsane	2022-03-22 06:53:32+00:00	0	Twitter for iPhone	Ahhh #HorribleBosses they said we shouldn’t bring musicians into this one 🤣🤣🤣	Lagos, Nigeria
4213	joyiseki	2022-03-22 06:53:28+00:00	5	Twitter for Android	"I don't think any job is more important than your mental health

If you have confidence in your abilities, you can always leave a toxic work environment. You'll get another job. It might take time but you will.
Your actions should show that you care about yourself
#HorribleBosses"	Earth
4214	gregs_david	2022-03-22 06:53:24+00:00	137	Twitter for Android	#HorribleBosses trending,but this man is the best manager have seen so far. Fettlegroup MPCS https://t.co/D6G5FLDs1Y	Uyo, Nigeria
4215	BizWatchNigeria	2022-03-22 06:53:08+00:00	0	BizWatchNigeria Tweets	#HorribleBosses: Nigerians Lament Toxic Workplace Experiences - https://t.co/XN57tiKtoC https://t.co/9NP7wNOfbX	Lagos, Nigeria
4216	VAdebay0	2022-03-22 06:52:57+00:00	0	Twitter for Android	A scandal is revealed and everyone on this Bird app has a thing or 2 to say about someone. Y'all be clowning 🤡 #scandal #HorribleBosses	Nigeria
4217	careerbuddyhq	2022-03-22 06:52:56+00:00	1	Twitter for iPhone	"Please the list is long but my head is doing me somehow from all the evils I’ve heard and read on Twitter today!

What are some things you feel employers should never EVERRR say to their employees?

#HorribleBosses #Careerbuddy #ToxicWorkplaces"	Lagos, Nigeria
4218	careerbuddyhq	2022-03-22 06:52:55+00:00	2	Twitter for iPhone	"2. Never ever call your employees names. ‘Pussies’, ‘Retarded Motherfucker’ Fuckers’

Even people that run brothels and Bars are learning work from you sir.

Zero class! Tueh!

#HorribleBosses #ToxicWorkplaces"	Lagos, Nigeria
4219	careerbuddyhq	2022-03-22 06:52:55+00:00	1	Twitter for iPhone	"Basic Manners 101 with your team!

1. You see, Contrary to popular opinion you don’t have to be wicked to get results

Wicked and Results-oriented are 2 different words. Repent!!!!!

#HorribleBosses"	Lagos, Nigeria
4220	fhatoh_s	2022-03-22 06:52:53+00:00	3	Twitter for Android	I hope we won't become the bosses we all complain about..#HorribleBosses	Abuja, Nigeria
4221	CARGARAGE11	2022-03-22 06:52:53+00:00	5	Twitter Web App	"ML350  2012 With blind spot assist
Location:Lagos 

#HorribleBosses https://t.co/8TGVeBHel1"	Lagos
4222	elanhub	2022-03-22 06:52:35+00:00	6	Twitter Web App	Share your thoughts and experiences here. We are tired of #horriblebosses and #toxicworkplace #TwitterSpaces https://t.co/ktvFAAFiBr	
4223	gregg_nw	2022-03-22 06:52:35+00:00	0	Twitter for iPhone	Therapists are not being patronized enough. Please once you start making money as a Nigerian first thing seek therapy cos all this #HorribleBosses stories are like persons that didn’t heal from the kind of toxicity they themselves experienced.	Nigeria
4224	osirmah	2022-03-22 06:52:23+00:00	18	Twitter for iPhone	Hearing some of these #HorribleBosses , it’s safe to say Isreal X Davido’s boss and employee relationship is clear😭🤣 Mor Oga 😂🤣	England, United Kingdom
4225	JenniferDuob	2022-03-22 06:52:23+00:00	2	Twitter for iPhone	Investing in people management training should be a priority for employers in Nigeria. The ability to manage people is not innate. It takes constant development and feedback. CEOs are not managers. #HorribleBosses	London/lagos
4226	jibereayo	2022-03-22 06:52:20+00:00	1	Twitter for iPhone	The #HorribleBosses stories break my heart!	Lagos, Nigeria.
4227	oluwa_seni_	2022-03-22 06:52:05+00:00	8	Twitter Web App	"@rachael_babs That means he maltreats his wife... nothing less.

#HorribleBosses"	Lagos, Nigeria
4228	blacklinksHQ	2022-03-22 06:52:03+00:00	1	Twitter for iPhone	"#HorribleBosses who is getting the award @EbunOkubanjo vs @thedanielemeka 

Daniel emeka ebun 

God save us all"	
